sample_year,sample_category,sample_type,sample_name,xsec,lumi,sumws,sample_code,plotting_colour
2016preVFP,sig,WWH_OS,VBSWWH_OS_VBSCuts,0.002828,19.52,98500.0,00,crimson
2016postVFP,sig,WWH_OS,VBSWWH_OS_VBSCuts,0.002828,16.81,99200.0,00,crimson
2017,sig,WWH_OS,VBSWWH_OS_VBSCuts,0.002828,41.529,98300.0,00,crimson
2018,sig,WWH_OS,VBSWWH_OS_VBSCuts,0.002828,59.7,98700.0,00,crimson
2016preVFP,sig,WWH_SS,VBSWWH_SS_VBSCuts,0.001526,19.52,99800.0,01,lightcoral
2016postVFP,sig,WWH_SS,VBSWWH_SS_VBSCuts,0.001526,16.81,99900.0,01,lightcoral
2017,sig,WWH_SS,VBSWWH_SS_VBSCuts,0.001526,41.529,99800.0,01,lightcoral
2018,sig,WWH_SS,VBSWWH_SS_VBSCuts,0.001526,59.7,99800.0,01,lightcoral
2016preVFP,sig,WZH,VBSWZH_VBSCuts,0.001637,19.52,99000.0,02,orangered
2016postVFP,sig,WZH,VBSWZH_VBSCuts,0.001637,16.81,99700.0,02,orangered
2017,sig,WZH,VBSWZH_VBSCuts,0.001637,41.529,99800.0,02,orangered
2018,sig,WZH,VBSWZH_VBSCuts,0.001637,59.7,99600.0,02,orangered
2016preVFP,sig,ZZH,VBSZZH_VBSCuts,0.001132,19.52,99700.0,03,tomato
2016postVFP,sig,ZZH,VBSZZH_VBSCuts,0.001132,16.81,98400.0,03,tomato
2017,sig,ZZH,VBSZZH_VBSCuts,0.001132,41.529,99800.0,03,tomato
2018,sig,ZZH,VBSZZH_VBSCuts,0.001132,59.7,99400.0,03,tomato
2016preVFP,bkg,EWK,EWKWminus2Jets_WToQQ_dipoleRecoilOn,10.67,19.52,4999000.0,10,skyblue
2016postVFP,bkg,EWK,EWKWminus2Jets_WToQQ_dipoleRecoilOn,10.67,16.81,4998130.0,10,skyblue
2017,bkg,EWK,EWKWminus2Jets_WToQQ_dipoleRecoilOn,10.67,41.529,7874000.0,10,skyblue
2018,bkg,EWK,EWKWminus2Jets_WToQQ_dipoleRecoilOn,10.67,59.7,9655000.0,10,skyblue
2016preVFP,bkg,EWK,EWKWplus2Jets_WToQQ_dipoleRecoilOn,10.67,19.52,4943000.0,11,skyblue
2016postVFP,bkg,EWK,EWKWplus2Jets_WToQQ_dipoleRecoilOn,10.67,16.81,4998122.0,11,skyblue
2017,bkg,EWK,EWKWplus2Jets_WToQQ_dipoleRecoilOn,10.67,41.529,7994000.0,11,skyblue
2018,bkg,EWK,EWKWplus2Jets_WToQQ_dipoleRecoilOn,10.67,59.7,9991000.0,11,skyblue
2016preVFP,bkg,EWK,EWKZ2Jets_ZToLL_M-50,6.22,19.52,500000.0,12,skyblue
2016postVFP,bkg,EWK,EWKZ2Jets_ZToLL_M-50,6.22,16.81,453000.0,12,skyblue
2017,bkg,EWK,EWKZ2Jets_ZToLL_M-50,6.22,41.529,579000.0,12,skyblue
2018,bkg,EWK,EWKZ2Jets_ZToLL_M-50,6.22,59.7,1000000.0,12,skyblue
2016preVFP,bkg,EWK,EWKZ2Jets_ZToNuNu_M-50,10.72,19.52,1450000.0,13,skyblue
2016postVFP,bkg,EWK,EWKZ2Jets_ZToNuNu_M-50,10.72,16.81,1500000.0,13,skyblue
2017,bkg,EWK,EWKZ2Jets_ZToNuNu_M-50,10.72,41.529,2976000.0,13,skyblue
2018,bkg,EWK,EWKZ2Jets_ZToNuNu_M-50,10.72,59.7,2645000.0,13,skyblue
2016preVFP,bkg,EWK,EWKZ2Jets_ZToQQ_dipoleRecoilOn,10.67,19.52,4979000.0,14,skyblue
2016postVFP,bkg,EWK,EWKZ2Jets_ZToQQ_dipoleRecoilOn,10.67,16.81,4928082.0,14,skyblue
2017,bkg,EWK,EWKZ2Jets_ZToQQ_dipoleRecoilOn,10.67,41.529,8000000.0,14,skyblue
2018,bkg,EWK,EWKZ2Jets_ZToQQ_dipoleRecoilOn,10.67,59.7,9985000.0,14,skyblue
2016preVFP,bkg,EWK,WZJJ_EWK_InclusivePolarization,0.01701,19.52,30747.70926882,15,skyblue
2016postVFP,bkg,EWK,WZJJ_EWK_InclusivePolarization,0.01701,16.81,28529.296494900005,15,skyblue
2017,bkg,EWK,WZJJ_EWK_InclusivePolarization,0.01701,41.529,31195.062866480002,15,skyblue
2018,bkg,EWK,WZJJ_EWK_InclusivePolarization,0.01701,59.7,29237.15565968,15,skyblue
2016preVFP,bkg,Other,VHToNonbb_M125,2.207,19.52,2561276.2952920003,16,orchid
2016postVFP,bkg,Other,VHToNonbb_M125,2.207,16.81,1917613.6729720004,16,orchid
2017,bkg,Other,VHToNonbb_M125,2.207,41.529,5066302.999084999,16,orchid
2018,bkg,Other,VHToNonbb_M125,2.207,59.7,7023767.516864001,16,orchid
2016preVFP,bkg,Other,WWTo1L1Nu2Q_4f,51.65,19.52,1691013737.80942,17,orchid
2016postVFP,bkg,Other,WWTo1L1Nu2Q_4f,51.65,16.81,1684137687.5030298,17,orchid
2017,bkg,Other,WWTo1L1Nu2Q_4f,51.65,41.529,3364342782.3126493,17,orchid
2018,bkg,Other,WWTo1L1Nu2Q_4f,51.65,59.7,3393645436.41983,17,orchid
2016preVFP,bkg,Other,WWTo4Q_4f,51.79,19.52,1672345627.9435396,18,orchid
2016postVFP,bkg,Other,WWTo4Q_4f,51.79,16.81,1691051698.51794,18,orchid
2017,bkg,Other,WWTo4Q_4f,51.79,41.529,3366860424.1632786,18,orchid
2018,bkg,Other,WWTo4Q_4f,51.79,59.7,3375431134.00944,18,orchid
2016preVFP,bkg,Other,WWW_4F,0.2086,19.52,1120296.2527460596,19,orchid
2016postVFP,bkg,Other,WWW_4F,0.2086,16.81,897983.0426318999,19,orchid
2017,bkg,Other,WWW_4F,0.2086,41.529,2127100.3534672004,19,orchid
